Name,Image,Variation,Body Title,Pattern,Pattern Title,DIY,Body Customize,Pattern Customize,Kit Cost,Kit Type,Cyrus Customize Price,Buy,Sell,Color 1,Color 2,Exchange Price,Exchange Currency,Size,Source,Source Notes,Season/Event,Season/Event Exclusive,HHA Base Points,HHA Concept 1,HHA Concept 2,HHA Series,HHA Set,HHA Category,Interact,Tag,Outdoor,Lighting Type,Sound Type,Catalog,Version Added,Unlocked?,Filename,Variant ID,Internal ID,Unique Entry ID
aluminoid,,Silver,Color,NA,NA,No,Yes,No,1,Normal,1000,NFS,828,Gray,Gray,NA,NA,1x1,Dig Spot,,NA,NA,207,None,None,None,None,None,Yes,Haniwa,No,No lighting,Drum set,Not for sale,2.0.0,Yes,FtrHaniwaDrumSet00_Remake_0_0,0_0,14074,kkfW3mkDqaSJ6oZyX
aluminoid,,Copper,Color,NA,NA,No,Yes,No,1,Normal,1000,NFS,828,Brown,Brown,NA,NA,1x1,Dig Spot,,NA,NA,207,None,None,None,None,None,Yes,Haniwa,No,No lighting,Drum set,Not for sale,2.0.0,Yes,FtrHaniwaDrumSet00_Remake_1_0,1_0,14074,3yc99fYfgeEEuEpmE
aluminoid,,Blue,Color,NA,NA,No,Yes,No,1,Normal,1000,NFS,828,Blue,Aqua,NA,NA,1x1,Dig Spot,,NA,NA,207,None,None,None,None,None,Yes,Haniwa,No,No lighting,Drum set,Not for sale,2.0.0,Yes,FtrHaniwaDrumSet00_Remake_2_0,2_0,14074,d2S8TAMtdyn2otNvv
aluminoid,,Black,Color,NA,NA,No,Yes,No,1,Normal,1000,NFS,828,Black,Gray,NA,NA,1x1,Dig Spot,,NA,NA,207,None,None,None,None,None,Yes,Haniwa,No,No lighting,Drum set,Not for sale,2.0.0,Yes,FtrHaniwaDrumSet00_Remake_3_0,3_0,14074,CFL93pob3zvkoxaMu
arfoid,,Yellow,Color,NA,NA,No,Yes,No,1,Normal,1000,NFS,828,Yellow,Orange,NA,NA,1x1,Dig Spot,,NA,NA,207,None,None,None,None,None,Yes,Haniwa,No,No lighting,Melody,Not for sale,2.0.0,Yes,FtrHaniwaMelody02_Remake_0_0,0_0,14056,JzeaDWnEw5PmA9HsR
arfoid,,Brown,Color,NA,NA,No,Yes,No,1,Normal,1000,NFS,828,Brown,Brown,NA,NA,1x1,Dig Spot,,NA,NA,207,None,None,None,None,None,Yes,Haniwa,No,No lighting,Melody,Not for sale,2.0.0,Yes,FtrHaniwaMelody02_Remake_1_0,1_0,14056,j7fH8LTP7eE7xpkcD
arfoid,,Green,Color,NA,NA,No,Yes,No,1,Normal,1000,NFS,828,Green,Green,NA,NA,1x1,Dig Spot,,NA,NA,207,None,None,None,None,None,Yes,Haniwa,No,No lighting,Melody,Not for sale,2.0.0,Yes,FtrHaniwaMelody02_Remake_2_0,2_0,14056,BcuaRWuFvnx23qbEu
arfoid,,Pink,Color,NA,NA,No,Yes,No,1,Normal,1000,NFS,828,Pink,Pink,NA,NA,1x1,Dig Spot,,NA,NA,207,None,None,None,None,None,Yes,Haniwa,No,No lighting,Melody,Not for sale,2.0.0,Yes,FtrHaniwaMelody02_Remake_3_0,3_0,14056,CHfXBgGM5JJ2ZNYv9
arfoid,,Blue,Color,NA,NA,No,Yes,No,1,Normal,1000,NFS,828,Aqua,Blue,NA,NA,1x1,Dig Spot,,NA,NA,207,None,None,None,None,None,Yes,Haniwa,No,No lighting,Melody,Not for sale,2.0.0,Yes,FtrHaniwaMelody02_Remake_4_0,4_0,14056,B3pxocyqgxwjJtd6u
babbloid,,Blue,Color,NA,NA,No,Yes,No,1,Normal,1000,NFS,828,Aqua,White,NA,NA,1x1,Dig Spot,,NA,NA,207,None,None,None,None,None,Yes,Haniwa,No,No lighting,Melody,Not for sale,2.0.0,Yes,FtrHaniwaMelody01_Remake_0_0,0_0,14047,9W6sgmuK9FAoYnAgJ
babbloid,,Pink,Color,NA,NA,No,Yes,No,1,Normal,1000,NFS,828,Pink,Pink,NA,NA,1x1,Dig Spot,,NA,NA,207,None,None,None,None,None,Yes,Haniwa,No,No lighting,Melody,Not for sale,2.0.0,Yes,FtrHaniwaMelody01_Remake_1_0,1_0,14047,wqePHxASM2D5MzkhW
babbloid,,Green,Color,NA,NA,No,Yes,No,1,Normal,1000,NFS,828,Green,White,NA,NA,1x1,Dig Spot,,NA,NA,207,None,None,None,None,None,Yes,Haniwa,No,No lighting,Melody,Not for sale,2.0.0,Yes,FtrHaniwaMelody01_Remake_2_0,2_0,14047,RaJnNHN9vtyitfNRp
babbloid,,Purple,Color,NA,NA,No,Yes,No,1,Normal,1000,NFS,828,Purple,Pink,NA,NA,1x1,Dig Spot,,NA,NA,207,None,None,None,None,None,Yes,Haniwa,No,No lighting,Melody,Not for sale,2.0.0,Yes,FtrHaniwaMelody01_Remake_3_0,3_0,14047,7DcmhrnFjsMKyhyvs
babbloid,,Brown,Color,NA,NA,No,Yes,No,1,Normal,1000,NFS,828,Brown,Beige,NA,NA,1x1,Dig Spot,,NA,NA,207,None,None,None,None,None,Yes,Haniwa,No,No lighting,Melody,Not for sale,2.0.0,Yes,FtrHaniwaMelody01_Remake_4_0,4_0,14047,iRFDM7XADzxAamc5h
babbloid,,White,Color,NA,NA,No,Yes,No,1,Normal,1000,NFS,828,White,Colorful,NA,NA,1x1,Dig Spot,,NA,NA,207,None,None,None,None,None,Yes,Haniwa,No,No lighting,Melody,Not for sale,2.0.0,Yes,FtrHaniwaMelody01_Remake_5_0,5_0,14047,dK69jDDFGqLJ5gfEw
bendoid,,Orange,Color,NA,NA,No,Yes,No,1,Normal,1000,NFS,828,Orange,Yellow,NA,NA,1x1,Dig Spot,,NA,NA,207,None,None,None,None,None,Yes,Haniwa,No,No lighting,Kick,Not for sale,2.0.0,Yes,FtrHaniwaKick02_Remake_0_0,0_0,14082,nzZ8BhZMNuRXNGxkA
bendoid,,Beige,Color,NA,NA,No,Yes,No,1,Normal,1000,NFS,828,Beige,Brown,NA,NA,1x1,Dig Spot,,NA,NA,207,None,None,None,None,None,Yes,Haniwa,No,No lighting,Kick,Not for sale,2.0.0,Yes,FtrHaniwaKick02_Remake_1_0,1_0,14082,iBnNNvC7nGWL7tryz
bendoid,,Green,Color,NA,NA,No,Yes,No,1,Normal,1000,NFS,828,Green,Green,NA,NA,1x1,Dig Spot,,NA,NA,207,None,None,None,None,None,Yes,Haniwa,No,No lighting,Kick,Not for sale,2.0.0,Yes,FtrHaniwaKick02_Remake_2_0,2_0,14082,twv95nheGWR57tSKf
bendoid,,Brown,Color,NA,NA,No,Yes,No,1,Normal,1000,NFS,828,Brown,Red,NA,NA,1x1,Dig Spot,,NA,NA,207,None,None,None,None,None,Yes,Haniwa,No,No lighting,Kick,Not for sale,2.0.0,Yes,FtrHaniwaKick02_Remake_3_0,3_0,14082,7ips4Bj26grdqknHj
bendoid,,Blue,Color,NA,NA,No,Yes,No,1,Normal,1000,NFS,828,Aqua,White,NA,NA,1x1,Dig Spot,,NA,NA,207,None,None,None,None,None,Yes,Haniwa,No,No lighting,Kick,Not for sale,2.0.0,Yes,FtrHaniwaKick02_Remake_4_0,4_0,14082,sx5w3astuWQSZPwHY
bendoid,,Gray,Color,NA,NA,No,Yes,No,1,Normal,1000,NFS,828,Gray,Gray,NA,NA,1x1,Dig Spot,,NA,NA,207,None,None,None,None,None,Yes,Haniwa,No,No lighting,Kick,Not for sale,2.0.0,Yes,FtrHaniwaKick02_Remake_5_0,5_0,14082,rLx8Bvw5KYfbAoDCW
bloopoid,,Blue,Color,NA,NA,No,Yes,No,1,Normal,1000,NFS,828,Aqua,Blue,NA,NA,1x1,Dig Spot,,NA,NA,207,None,None,None,None,None,Yes,Haniwa,No,No lighting,Snare,Not for sale,2.0.0,Yes,FtrHaniwaSnare00_Remake_0_0,0_0,14086,jJ5qYcuccjfRXTuAj
bloopoid,,Red,Color,NA,NA,No,Yes,No,1,Normal,1000,NFS,828,Orange,Red,NA,NA,1x1,Dig Spot,,NA,NA,207,None,None,None,None,None,Yes,Haniwa,No,No lighting,Snare,Not for sale,2.0.0,Yes,FtrHaniwaSnare00_Remake_1_0,1_0,14086,4ygoAekmHeQR6qsx2
bloopoid,,Green,Color,NA,NA,No,Yes,No,1,Normal,1000,NFS,828,Yellow,Green,NA,NA,1x1,Dig Spot,,NA,NA,207,None,None,None,None,None,Yes,Haniwa,No,No lighting,Snare,Not for sale,2.0.0,Yes,FtrHaniwaSnare00_Remake_2_0,2_0,14086,jLoixeQfRW76YwRam
bloopoid,,Purple,Color,NA,NA,No,Yes,No,1,Normal,1000,NFS,828,Purple,Purple,NA,NA,1x1,Dig Spot,,NA,NA,207,None,None,None,None,None,Yes,Haniwa,No,No lighting,Snare,Not for sale,2.0.0,Yes,FtrHaniwaSnare00_Remake_3_0,3_0,14086,HxpcrjDmFaaaLaDze
boioingoid,,Orange,Color,NA,NA,No,Yes,No,1,Normal,1000,NFS,828,Beige,Brown,NA,NA,1x1,Dig Spot,,NA,NA,207,None,None,None,None,None,Yes,Haniwa,No,No lighting,Crash,Not for sale,2.0.0,Yes,FtrHaniwaCrash00_Remake_0_0,0_0,14098,Phox4Q4uxne3f7RNZ
boioingoid,,Green,Color,NA,NA,No,Yes,No,1,Normal,1000,NFS,828,Green,Green,NA,NA,1x1,Dig Spot,,NA,NA,207,None,None,None,None,None,Yes,Haniwa,No,No lighting,Crash,Not for sale,2.0.0,Yes,FtrHaniwaCrash00_Remake_1_0,1_0,14098,dFRdhcbbpH9MAsLz8
boioingoid,,Blue,Color,NA,NA,No,Yes,No,1,Normal,1000,NFS,828,Aqua,Beige,NA,NA,1x1,Dig Spot,,NA,NA,207,None,None,None,None,None,Yes,Haniwa,No,No lighting,Crash,Not for sale,2.0.0,Yes,FtrHaniwaCrash00_Remake_2_0,2_0,14098,r9zWRJ27owu68fJeC
boioingoid,,Purple,Color,NA,NA,No,Yes,No,1,Normal,1000,NFS,828,Purple,Pink,NA,NA,1x1,Dig Spot,,NA,NA,207,None,None,None,None,None,Yes,Haniwa,No,No lighting,Crash,Not for sale,2.0.0,Yes,FtrHaniwaCrash00_Remake_3_0,3_0,14098,iK6eTwafFNsFQ7itR
boioingoid,,Black,Color,NA,NA,No,Yes,No,1,Normal,1000,NFS,828,Black,Gray,NA,NA,1x1,Dig Spot,,NA,NA,207,None,None,None,None,None,Yes,Haniwa,No,No lighting,Crash,Not for sale,2.0.0,Yes,FtrHaniwaCrash00_Remake_4_0,4_0,14098,PJyZFnEnQhuQMfNjc
boioingoid,,Wood,Color,NA,NA,No,Yes,No,1,Normal,1000,NFS,828,Brown,Beige,NA,NA,1x1,Dig Spot,,NA,NA,207,None,None,None,None,None,Yes,Haniwa,No,No lighting,Crash,Not for sale,2.0.0,Yes,FtrHaniwaCrash00_Remake_5_0,5_0,14098,o93EYRxwspQqwXzBB
boomoid,,Brown,Color,NA,NA,No,Yes,No,1,Normal,1000,NFS,828,Brown,Brown,NA,NA,1x1,Dig Spot,,NA,NA,207,None,None,None,None,None,Yes,Haniwa,No,No lighting,Kick,Not for sale,2.0.0,Yes,FtrHaniwaKick03_Remake_0_0,0_0,14083,tf32LnJeHNvsRkfX3
boomoid,,Camel,Color,NA,NA,No,Yes,No,1,Normal,1000,NFS,828,Yellow,Brown,NA,NA,1x1,Dig Spot,,NA,NA,207,None,None,None,None,None,Yes,Haniwa,No,No lighting,Kick,Not for sale,2.0.0,Yes,FtrHaniwaKick03_Remake_1_0,1_0,14083,4a3Ku9Po9Kybzioqq
boomoid,,Green,Color,NA,NA,No,Yes,No,1,Normal,1000,NFS,828,Green,Brown,NA,NA,1x1,Dig Spot,,NA,NA,207,None,None,None,None,None,Yes,Haniwa,No,No lighting,Kick,Not for sale,2.0.0,Yes,FtrHaniwaKick03_Remake_2_0,2_0,14083,En8kpWp2HtBSyggzS
boomoid,,Blue,Color,NA,NA,No,Yes,No,1,Normal,1000,NFS,828,Blue,Aqua,NA,NA,1x1,Dig Spot,,NA,NA,207,None,None,None,None,None,Yes,Haniwa,No,No lighting,Kick,Not for sale,2.0.0,Yes,FtrHaniwaKick03_Remake_3_0,3_0,14083,4dJAhBXMjbGYhowW4
boomoid,,Purple,Color,NA,NA,No,Yes,No,1,Normal,1000,NFS,828,Purple,Pink,NA,NA,1x1,Dig Spot,,NA,NA,207,None,None,None,None,None,Yes,Haniwa,No,No lighting,Kick,Not for sale,2.0.0,Yes,FtrHaniwaKick03_Remake_4_0,4_0,14083,hMs8n9zwDaNWAaTuJ
boomoid,,Black,Color,NA,NA,No,Yes,No,1,Normal,1000,NFS,828,Black,Gray,NA,NA,1x1,Dig Spot,,NA,NA,207,None,None,None,None,None,Yes,Haniwa,No,No lighting,Kick,Not for sale,2.0.0,Yes,FtrHaniwaKick03_Remake_5_0,5_0,14083,hGuW5Y4MBKAPAop5i
brewstoid,,NA,NA,NA,NA,No,No,No,NA,None,NA,NFS,828,Green,Black,NA,NA,1x1,Brewster,Sit down for coffee on 50 different days,NA,NA,153,None,None,None,None,None,Yes,Haniwa,No,No lighting,Snare,Not for sale,2.0.0,Yes,FtrHaniwaSnare04,NA,14090,8bTnQQq6orJEegzWZ
bubbloid,,Brown,Color,NA,NA,No,Yes,No,1,Normal,1000,NFS,828,Brown,Brown,NA,NA,1x1,Dig Spot,,NA,NA,207,None,None,None,None,None,Yes,Haniwa,No,No lighting,Melody,Not for sale,2.0.0,Yes,FtrHaniwaMelody12_Remake_0_0,0_0,14066,LJfA5BTFhyFCrD4By
bubbloid,,Green,Color,NA,NA,No,Yes,No,1,Normal,1000,NFS,828,Green,Green,NA,NA,1x1,Dig Spot,,NA,NA,207,None,None,None,None,None,Yes,Haniwa,No,No lighting,Melody,Not for sale,2.0.0,Yes,FtrHaniwaMelody12_Remake_1_0,1_0,14066,MwTRAZJt6zPgGLqEx
bubbloid,,Pink,Color,NA,NA,No,Yes,No,1,Normal,1000,NFS,828,Pink,Pink,NA,NA,1x1,Dig Spot,,NA,NA,207,None,None,None,None,None,Yes,Haniwa,No,No lighting,Melody,Not for sale,2.0.0,Yes,FtrHaniwaMelody12_Remake_2_0,2_0,14066,g2BLkiDYHnoddAwJA
bubbloid,,Purple,Color,NA,NA,No,Yes,No,1,Normal,1000,NFS,828,Purple,Purple,NA,NA,1x1,Dig Spot,,NA,NA,207,None,None,None,None,None,Yes,Haniwa,No,No lighting,Melody,Not for sale,2.0.0,Yes,FtrHaniwaMelody12_Remake_3_0,3_0,14066,QZJ44szMGx2rpa9ar
bubbloid,,White,Color,NA,NA,No,Yes,No,1,Normal,1000,NFS,828,White,Aqua,NA,NA,1x1,Dig Spot,,NA,NA,207,None,None,None,None,None,Yes,Haniwa,No,No lighting,Melody,Not for sale,2.0.0,Yes,FtrHaniwaMelody12_Remake_4_0,4_0,14066,utsjEsjRDFna29drm
bwongoid,,Brown,Color,NA,NA,No,Yes,No,1,Normal,1000,NFS,828,Brown,Blue,NA,NA,1x1,Dig Spot,,NA,NA,207,None,None,None,None,None,Yes,Haniwa,No,No lighting,Melody,Not for sale,2.0.0,Yes,FtrHaniwaMelody04_Remake_0_0,0_0,14058,HJiRPPSmtnofjcdsG
bwongoid,,Yellow,Color,NA,NA,No,Yes,No,1,Normal,1000,NFS,828,Yellow,Green,NA,NA,1x1,Dig Spot,,NA,NA,207,None,None,None,None,None,Yes,Haniwa,No,No lighting,Melody,Not for sale,2.0.0,Yes,FtrHaniwaMelody04_Remake_1_0,1_0,14058,Xx8hum9au5hx5vwo3
bwongoid,,Green,Color,NA,NA,No,Yes,No,1,Normal,1000,NFS,828,Green,Brown,NA,NA,1x1,Dig Spot,,NA,NA,207,None,None,None,None,None,Yes,Haniwa,No,No lighting,Melody,Not for sale,2.0.0,Yes,FtrHaniwaMelody04_Remake_2_0,2_0,14058,MwiwsdWNmyGpKJKkt
bwongoid,,Blue,Color,NA,NA,No,Yes,No,1,Normal,1000,NFS,828,Aqua,Purple,NA,NA,1x1,Dig Spot,,NA,NA,207,None,None,None,None,None,Yes,Haniwa,No,No lighting,Melody,Not for sale,2.0.0,Yes,FtrHaniwaMelody04_Remake_3_0,3_0,14058,CimmAva3yZRKy5LLA
clatteroid,,Pop,Color,NA,NA,No,Yes,No,1,Normal,1000,NFS,828,Beige,Colorful,NA,NA,1x1,Dig Spot,,NA,NA,207,None,None,None,None,None,Yes,Haniwa,No,No lighting,Snare,Not for sale,2.0.0,Yes,FtrHaniwaSnare03_Remake_0_0,0_0,14089,7J25rfm8vr9QhbbkS
clatteroid,,Natural,Color,NA,NA,No,Yes,No,1,Normal,1000,NFS,828,Beige,Brown,NA,NA,1x1,Dig Spot,,NA,NA,207,None,None,None,None,None,Yes,Haniwa,No,No lighting,Snare,Not for sale,2.0.0,Yes,FtrHaniwaSnare03_Remake_1_0,1_0,14089,oqiuuGcqkHTRxGGYw
clatteroid,,Cool,Color,NA,NA,No,Yes,No,1,Normal,1000,NFS,828,Yellow,Blue,NA,NA,1x1,Dig Spot,,NA,NA,207,None,None,None,None,None,Yes,Haniwa,No,No lighting,Snare,Not for sale,2.0.0,Yes,FtrHaniwaSnare03_Remake_2_0,2_0,14089,mTaSLHRrsJeDk5WJr
clatteroid,,Cute,Color,NA,NA,No,Yes,No,1,Normal,1000,NFS,828,Pink,Colorful,NA,NA,1x1,Dig Spot,,NA,NA,207,None,None,None,None,None,Yes,Haniwa,No,No lighting,Snare,Not for sale,2.0.0,Yes,FtrHaniwaSnare03_Remake_3_0,3_0,14089,zC6zNREBCsaqKdeC7
clatteroid,,Chic,Color,NA,NA,No,Yes,No,1,Normal,1000,NFS,828,White,Black,NA,NA,1x1,Dig Spot,,NA,NA,207,None,None,None,None,None,Yes,Haniwa,No,No lighting,Snare,Not for sale,2.0.0,Yes,FtrHaniwaSnare03_Remake_4_0,4_0,14089,ML7RwjzsXpLtZgmQW
crumploid,,Yellow,Color,NA,NA,No,Yes,No,1,Normal,1000,NFS,828,Yellow,Orange,NA,NA,1x1,Dig Spot,,NA,NA,207,None,None,None,None,None,Yes,Haniwa,No,No lighting,Snare,Not for sale,2.0.0,Yes,FtrHaniwaSnare02_Remake_0_0,0_0,14088,em76obCKYxcMYSHbr
crumploid,,Brown,Color,NA,NA,No,Yes,No,1,Normal,1000,NFS,828,Brown,Brown,NA,NA,1x1,Dig Spot,,NA,NA,207,None,None,None,None,None,Yes,Haniwa,No,No lighting,Snare,Not for sale,2.0.0,Yes,FtrHaniwaSnare02_Remake_1_0,1_0,14088,yeAKxwpHdTWSv7uNn
crumploid,,Blue,Color,NA,NA,No,Yes,No,1,Normal,1000,NFS,828,Aqua,Blue,NA,NA,1x1,Dig Spot,,NA,NA,207,None,None,None,None,None,Yes,Haniwa,No,No lighting,Snare,Not for sale,2.0.0,Yes,FtrHaniwaSnare02_Remake_2_0,2_0,14088,ucYoB3AWT4gEj2iZQ
crumploid,,Red,Color,NA,NA,No,Yes,No,1,Normal,1000,NFS,828,Pink,Red,NA,NA,1x1,Dig Spot,,NA,NA,207,None,None,None,None,None,Yes,Haniwa,No,No lighting,Snare,Not for sale,2.0.0,Yes,FtrHaniwaSnare02_Remake_3_0,3_0,14088,NamEj8SET5d4PjAJE
crumploid,,Green,Color,NA,NA,No,Yes,No,1,Normal,1000,NFS,828,Green,Green,NA,NA,1x1,Dig Spot,,NA,NA,207,None,None,None,None,None,Yes,Haniwa,No,No lighting,Snare,Not for sale,2.0.0,Yes,FtrHaniwaSnare02_Remake_4_0,4_0,14088,dXXhoyCQgq3wMLApR
crumploid,,Black,Color,NA,NA,No,Yes,No,1,Normal,1000,NFS,828,Black,Black,NA,NA,1x1,Dig Spot,,NA,NA,207,None,None,None,None,None,Yes,Haniwa,No,No lighting,Snare,Not for sale,2.0.0,Yes,FtrHaniwaSnare02_Remake_5_0,5_0,14088,6S9RxwtPqaByY8g7b
dootoid,,Gray,Color,NA,NA,No,Yes,No,1,Normal,1000,NFS,828,Gray,Gray,NA,NA,1x1,Dig Spot,,NA,NA,207,None,None,None,None,None,Yes,Haniwa,No,No lighting,Drum set,Not for sale,2.0.0,Yes,FtrHaniwaDrumSet03_Remake_0_0,0_0,14077,x5WMC9bCWExRtzLMK
dootoid,,Brown,Color,NA,NA,No,Yes,No,1,Normal,1000,NFS,828,Brown,Beige,NA,NA,1x1,Dig Spot,,NA,NA,207,None,None,None,None,None,Yes,Haniwa,No,No lighting,Drum set,Not for sale,2.0.0,Yes,FtrHaniwaDrumSet03_Remake_1_0,1_0,14077,DAodQEs2cMXLxrbgP
dootoid,,Green,Color,NA,NA,No,Yes,No,1,Normal,1000,NFS,828,Green,Green,NA,NA,1x1,Dig Spot,,NA,NA,207,None,None,None,None,None,Yes,Haniwa,No,No lighting,Drum set,Not for sale,2.0.0,Yes,FtrHaniwaDrumSet03_Remake_2_0,2_0,14077,qJ4mDCDp5tvFuuv3L
